Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
29/07/2023,14:30,ARGENTINA - LIGA PROFESIONAL,Central Cordoba,Atl. Tucuman,ROUND 27,2.4,3.0,3.4,2.7,1.44,2.2,1.62
29/07/2023,15:00,ARGENTINA - LIGA PROFESIONAL,Sarmiento Junin,Banfield,ROUND 27,2.88,2.8,2.88,2.88,1.4,2.2,1.62
29/07/2023,17:00,ARGENTINA - LIGA PROFESIONAL,Independiente,Boca Juniors,ROUND 27,2.8,2.9,2.88,3.1,1.36,2.25,1.57
29/07/2023,20:00,ARGENTINA - LIGA PROFESIONAL,Tigre,San Lorenzo,ROUND 27,2.45,3.0,3.2,2.88,1.4,2.2,1.62
29/07/2023,12:10,ARGENTINA - PRIMERA NACIONAL,Dep. Riestra,Deportivo Maipu,ROUND 24,2.6,3.0,3.0,2.3,1.6,1.91,1.8
29/07/2023,13:30,ARGENTINA - PRIMERA NACIONAL,Estudiantes Rio Cuarto,San Martin S.J.,ROUND 27,2.25,3.0,3.6,2.7,1.44,2.2,1.62
29/07/2023,14:10,ARGENTINA - PRIMERA NACIONAL,Nueva Chicago,Guillermo Brown,ROUND 27,1.85,3.0,5.25,2.7,1.44,2.38,1.53
29/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Deportivo Moron,Gimnasia Mendoza,ROUND 27,1.91,3.2,4.75,2.7,1.44,2.38,1.53
29/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Temperley,Almagro,ROUND 27,2.05,3.0,4.33,3.4,1.33,2.63,1.44
29/07/2023,19:05,ARGENTINA - PRIMERA NACIONAL,Quilmes,Atl. Rafaela,ROUND 24,2.3,3.1,3.4,2.3,1.6,1.91,1.8
29/07/2023,20:30,ARGENTINA - PRIMERA NACIONAL,Almirante Brown,Alvarado,ROUND 27,1.91,3.25,4.5,2.6,1.48,2.25,1.57
29/07/2023,12:00,ARMENIA - PREMIER LEAGUE,Noah,Van,ROUND 1,2.21,3.3,3.09,2.0,1.79,1.76,2.01
29/07/2023,12:00,ARMENIA - PREMIER LEAGUE,West Armenia,Shirak Gyumri,ROUND 1,2.5,3.2,2.5,2.3,1.57,2.0,1.77
29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Hartberg,A. Lustenau,ROUND 1,1.85,3.75,4.0,1.7,2.1,1.62,2.2
29/07/2023,12:00,AUSTRIA - BUNDESLIGA,Tirol,A. Klagenfurt,ROUND 1,2.1,3.75,3.2,1.67,2.15,1.57,2.25
