League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score
South Korean K3 League,2024-07-19,07:00:00,Ulsan Citizen FC,Daegu FC (Res),1.56,1.75,5.2,8.4,4.2,6.0,1.8,2.9,1.53,2.24,1.8,2.06,1.95,2.26,1.33,25.0,2.22,980.0,2.46,1000.0,1.4,1000.0,7.6,980.0,2.08,980.0,2.46,1000.0,1.4,1000.0,8.4,980.0,8.8,980.0,2.46,1000.0,2.46,1000.0,13.0,1000.0,2.18,980.0,2.46,1000.0,1.4,1000.0,1.37,980.0,1.4,1000.0,1.4,1000.0,33425812,28616140.0,67155272.0,58805.0,1.230815727,1.230815772,1.230815811,1.230815736
Bulgarian A League,2024-07-19,12:45:00,Cherno More,CSKA 1948 Sofia,1.77,1.83,5.6,6.2,3.45,3.8,1.65,1.7,2.42,2.56,2.22,2.34,1.75,1.82,9.2,10.5,14.5,16.5,36.0,980.0,13.5,980.0,6.0,6.8,7.6,8.2,21.0,25.0,14.5,170.0,8.2,9.2,9.8,10.5,23.0,28.0,15.0,980.0,16.5,18.5,20.0,980.0,42.0,980.0,15.5,260.0,14.5,17.5,13.0,180.0,17.0,1000.0,33402312,427650.0,20732043.0,58805.0,1.230523343,1.230523388,1.230523427,1.230523352
Romanian Liga I,2024-07-19,13:00:00,Poli Iasi,Botosani,2.44,2.56,3.4,3.65,3.15,3.2,1.69,1.74,2.34,2.44,1.93,2.06,1.94,2.08,7.6,12.0,10.0,13.5,18.5,27.0,5.5,980.0,8.2,980.0,6.6,7.0,13.0,18.0,5.5,980.0,13.0,17.5,10.5,15.0,5.0,24.0,5.5,980.0,28.0,980.0,25.0,36.0,5.4,980.0,5.7,980.0,5.0,32.0,5.4,980.0,5.9,1000.0,33418793,1557385.0,3465177.0,58805.0,1.230748401,1.230748446,1.230748485,1.23074841
Estonian Premier League,2024-07-19,13:00:00,Tammeka Tartu,Tallinna FC Flora,3.25,3.4,2.24,2.34,3.8,3.95,2.14,2.3,1.77,1.87,1.79,1.83,2.2,2.26,14.5,980.0,10.5,13.0,13.0,980.0,6.4,980.0,12.0,980.0,7.4,9.6,9.6,12.5,19.0,980.0,19.5,980.0,11.5,980.0,13.5,980.0,28.0,980.0,7.2,980.0,28.0,980.0,34.0,980.0,8.2,980.0,6.2,980.0,5.4,16.0,8.0,1000.0,33416281,5407303.0,10748720.0,58805.0,1.23071011,1.230710155,1.230710194,1.230710119
Danish Superliga,2024-07-19,13:00:00,AGF,Midtjylland,3.3,3.45,2.28,2.34,3.65,3.7,2.1,2.16,1.87,1.9,1.74,1.82,2.22,2.36,14.0,15.5,9.8,11.0,13.5,15.0,27.0,30.0,12.5,14.0,7.4,8.2,10.0,11.0,21.0,24.0,21.0,24.0,12.5,14.0,15.5,17.0,32.0,34.0,50.0,60.0,32.0,38.0,40.0,44.0,75.0,120.0,13.0,34.0,15.5,17.0,20.0,980.0,33374908,28214.0,28220.0,58805.0,1.23016441,1.23016442,1.230164409,1.230164419
Polish Ekstraklasa,2024-07-19,13:00:00,Jagiellonia Bialystock,Puszcza Niepolomice,1.53,1.55,7.0,7.4,4.7,5.0,2.22,2.32,1.76,1.81,1.89,1.99,2.02,2.14,16.5,18.5,23.0,26.0,50.0,980.0,13.5,980.0,8.8,9.8,9.6,10.5,23.0,26.0,12.5,980.0,8.6,10.5,9.2,9.6,19.5,23.0,12.5,90.0,12.5,14.5,14.0,15.5,21.0,32.0,50.0,120.0,6.4,7.4,13.0,110.0,14.5,1000.0,33400031,7391394.0,5751503.0,58805.0,1.230490626,1.230490671,1.23049071,1.230490635
Polish I Liga,2024-07-19,13:00:00,Polonia Warszawa,Znicz Pruszkow,2.2,2.38,3.25,3.65,3.5,3.8,1.98,2.16,1.87,2.02,1.75,1.9,2.1,2.34,5.3,16.0,11.5,15.5,20.0,27.0,20.0,65.0,8.8,11.5,7.4,9.2,12.5,16.0,20.0,42.0,11.5,15.5,9.0,40.0,13.5,19.5,20.0,50.0,20.0,32.0,5.8,25.0,20.0,38.0,20.0,240.0,18.0,55.0,6.2,36.0,7.4,1000.0,33413462,10490469.0,3199858.0,58805.0,1.230661751,1.230661796,1.230661835,1.23066176
Finnish Kakkonen,2024-07-19,13:00:00,FC Kiffen,MyPa,1.33,1.34,9.2,10.5,6.4,7.2,3.6,4.4,1.31,1.38,1.66,1.81,2.24,2.52,9.0,55.0,9.2,75.0,10.0,120.0,10.5,980.0,13.5,980.0,14.5,980.0,29.0,38.0,10.0,120.0,10.0,13.0,10.0,11.5,19.5,26.0,10.0,980.0,11.5,13.5,10.0,13.0,20.0,27.0,28.0,100.0,2.86,3.45,9.6,90.0,6.4,1000.0,33426196,498140.0,46966.0,58805.0,1.230819832,1.230819877,1.230819916,1.230819841
Finnish Ykkonen,2024-07-19,13:00:00,OLS,FCV,1.18,1.21,14.0,19.0,8.2,11.0,3.9,4.3,1.31,1.34,1.85,2.02,1.98,2.18,5.4,980.0,5.6,980.0,5.8,980.0,5.9,1000.0,12.5,19.0,19.0,980.0,5.5,980.0,5.8,980.0,8.8,13.0,9.4,15.5,26.0,980.0,5.8,980.0,8.8,13.0,10.5,16.0,24.0,980.0,5.9,980.0,1.99,2.96,6.0,980.0,6.0,1000.0,33426225,396721.0,498141.0,58805.0,1.230819742,1.230819787,1.230819826,1.230819751
Estonian Premier League,2024-07-19,13:30:00,Nomme Utd,Nomme Kalju,7.4,9.0,1.43,1.47,5.2,5.6,2.44,2.64,1.61,1.69,1.83,2.04,1.97,2.2,19.0,23.0,9.2,10.5,8.4,10.0,11.0,13.5,25.0,34.0,10.0,12.5,9.0,11.0,12.5,14.5,48.0,75.0,25.0,32.0,20.0,24.0,26.0,32.0,10.5,980.0,10.5,120.0,10.5,100.0,28.0,120.0,10.0,120.0,4.6,6.2,11.0,1000.0,33416287,10443529.0,4007449.0,58805.0,1.2307102,1.230710245,1.230710284,1.230710209
