League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Australian A-League Men,2025-11-28,05:35:00,Brisbane Roar,Melbourne Victory,2.66,2.7,2.84,2.9,3.6,3.65,2.02,2.06,1.95,1.98,1.74,1.8,2.26,2.34,13.0,14.5,12.0,13.0,17.5,19.0,42.0,50.0,10.5,11.5,7.4,7.8,11.5,12.5,28.0,32.0,16.5,17.5,11.0,12.0,15.0,17.0,36.0,40.0,36.0,40.0,26.0,28.0,34.0,40.0,75.0,90.0,20.0,22.0,22.0,25.0,210.0,1000.0,34942605,3862627.0,1205124.0,58805.0,1.250507717,1.250507721,1.250507796,1.250507718,3.15,3.3,1.44,1.46,13.5,15.0,1.07,1.08,4.0,4.2,1.31,1.33,1.52,1.54,1.59,1.61,1.37,1.39,1.250507801,1.250507803,1.250507719,1.250507720
Friendly Matches,2025-11-28,06:30:00,SFC Opava,TJ Unie Hlubina,1.43,1.6,5.2,7.8,4.2,6.4,2.96,3.75,1.38,1.51,1.53,1.74,2.34,2.86,3.8,1000.0,4.2,1000.0,4.2,1000.0,4.2,1000.0,5.5,1000.0,4.7,42.0,4.3,1000.0,4.2,1000.0,6.6,1000.0,5.1,1000.0,5.2,1000.0,4.2,1000.0,5.3,1000.0,6.0,1000.0,5.9,1000.0,4.2,1000.0,3.85,9.2,4.2,1000.0,6.8,1000.0,35006303,6247170.0,25233340.0,58805.0,1.251096668,1.251096713,1.251096752,1.251096677,4.5,6.0,1.22,1.28,1.1,55.0,1.02,1.17,3.45,9.4,1.12,1.17,1.16,1.22,2.68,3.35,1.19,1.26,1.251096669,1.251096671,1.251096672,1.251096716
Azerbaijan Premier League,2025-11-28,07:00:00,Kapaz Ganja,Zira,4.1,48.0,1.32,2.06,3.15,500.0,1.44,2.34,1.75,4.8,1.05,55.0,1.6,1000.0,1.35,1000.0,1.32,1000.0,1.37,1000.0,1.41,1000.0,1.41,1000.0,1.37,1000.0,1.39,1000.0,1.43,1000.0,1.45,1000.0,1.44,1000.0,1.44,1000.0,1.45,1000.0,1.45,1000.0,1.45,1000.0,1.45,1000.0,1.45,1000.0,1.55,1000.0,1.4,1000.0,1.45,1000.0,34996903,10135605.0,10135613.0,58805.0,1.250985865,1.250985910,1.250985949,1.250985874,2.58,3.2,1.46,1.64,6.8,26.0,1.05,1.11,1.44,21.0,1.05,55.0,1.94,5.2,1.03,1.32,1.16,1.44,1.250985866,1.250985868,1.250985869,1.250985913
Friendly Matches,2025-11-28,07:00:00,FK Pribram,Slavia Praha B,2.48,3.05,2.42,2.92,3.5,4.4,2.24,2.86,1.54,1.76,1.5,1.6,2.46,3.0,5.0,26.0,4.6,18.0,4.9,25.0,5.4,42.0,4.7,19.0,3.95,10.5,4.3,14.0,5.1,28.0,5.0,24.0,4.4,14.5,4.5,16.0,5.2,34.0,5.4,150.0,5.1,29.0,5.2,95.0,5.7,200.0,4.6,17.5,4.5,16.5,6.2,1000.0,35006002,4142630.0,25328480.0,58805.0,1.251093390,1.251093435,1.251093474,1.251093399,3.3,4.7,1.27,1.39,1.1,36.0,1.03,1.07,3.45,6.6,1.18,1.26,1.53,1.71,1.5,1.68,1.3,1.37,1.251093391,1.251093393,1.251093394,1.251093438
Armenian Premier League,2025-11-28,08:00:00,Gandzasar Kapan,BKMA Yerevan,1.68,1.86,4.5,5.7,3.9,4.7,2.06,2.36,1.74,1.95,1.87,1.93,2.06,2.18,4.3,1000.0,4.8,1000.0,2.38,1000.0,1.84,1000.0,4.7,1000.0,7.2,42.0,4.3,1000.0,2.76,1000.0,4.9,1000.0,5.0,1000.0,13.0,1000.0,2.76,1000.0,4.8,1000.0,4.3,1000.0,7.6,1000.0,1.93,1000.0,4.9,85.0,2.76,1000.0,2.78,1000.0,34997696,4043809.0,25763207.0,58805.0,1.250989576,1.250989621,1.250989660,1.250989585,3.0,4.4,1.29,1.5,13.0,21.0,1.05,1.07,3.75,4.9,1.31,1.33,1.21,1.28,2.16,2.48,1.27,1.34,1.250989577,1.250989579,1.250989580,1.250989624
Thai League 1,2025-11-28,09:00:00,Prachuap,Port FC,2.44,2.6,2.8,2.98,3.75,4.1,2.28,2.46,1.69,1.77,1.61,1.68,2.46,2.62,14.0,980.0,12.5,16.0,16.5,980.0,21.0,130.0,8.4,14.5,8.0,9.2,10.0,13.5,13.5,980.0,16.5,19.0,9.2,12.5,13.5,15.5,28.0,36.0,14.5,120.0,21.0,25.0,16.0,32.0,26.0,65.0,13.5,55.0,16.5,980.0,13.0,960.0,34987849,11386388.0,9255164.0,58805.0,1.250892455,1.250892500,1.250892539,1.250892464,3.25,4.9,1.26,1.44,16.0,26.0,1.04,1.06,4.7,5.6,1.22,1.27,1.5,1.56,1.62,1.7,1.32,1.35,1.250892456,1.250892458,1.250892459,1.250892503
Serbian First League,2025-11-28,09:00:00,FK Usce Novi Beograd,Vozdovac,2.84,3.55,2.46,3.05,2.88,3.6,1.57,1.8,2.26,2.76,1.88,2.22,1.82,2.14,8.0,11.0,7.4,9.8,13.0,18.0,5.7,85.0,7.8,10.5,5.9,8.0,10.5,14.5,5.6,40.0,16.5,23.0,11.0,15.5,16.0,23.0,5.9,250.0,5.9,300.0,5.7,170.0,5.9,420.0,6.2,580.0,42.0,600.0,5.6,600.0,6.4,1000.0,35007028,87265411.0,2020583.0,58805.0,1.251098089,1.251098134,1.251098173,1.251098098,2.5,3.1,1.48,1.67,8.0,11.0,1.1,1.15,2.68,3.35,1.44,1.59,1.49,1.68,1.4,1.53,1.39,1.53,1.251098090,1.251098092,1.251098093,1.251098137
Bulgarian A League,2025-11-28,10:00:00,Lokomotiv Sofia,Arda,2.86,3.15,2.7,2.96,3.05,3.25,1.64,1.86,2.16,2.56,1.8,2.06,1.95,2.24,6.8,11.5,8.4,10.5,14.0,980.0,13.5,48.0,8.8,11.5,6.6,7.4,11.0,13.0,27.0,980.0,15.5,20.0,11.5,14.0,14.0,980.0,9.0,60.0,9.0,55.0,12.0,1000.0,9.2,65.0,10.0,1000.0,8.2,46.0,13.5,600.0,9.6,1000.0,34948502,1255223.0,20731976.0,58805.0,1.250431754,1.250431764,1.250431753,1.250431763,2.62,3.15,1.47,1.61,8.6,12.5,1.09,1.13,3.0,3.65,1.38,1.5,1.51,1.58,1.47,1.54,1.44,1.48,1.250431745,1.250431757,1.250431758,1.250431768
Turkish 1 Lig,2025-11-28,11:00:00,Amed Sportif Faaliyetler,Erokspor A.S,1.76,1.87,4.3,4.9,4.0,4.4,2.28,2.66,1.6,1.79,1.67,1.76,2.32,2.48,17.5,23.0,17.5,22.0,14.5,40.0,9.0,1000.0,9.8,12.0,8.2,10.0,15.5,19.0,8.8,1000.0,10.5,13.5,9.0,11.0,14.5,18.0,8.8,1000.0,17.0,21.0,15.0,18.5,11.5,85.0,9.2,580.0,4.7,9.0,8.4,1000.0,9.8,1000.0,34992376,12171081.0,20929178.0,58805.0,1.250933357,1.250933360,1.250933404,1.250933405,1.05,1000.0,1.01,1000.0,15.0,980.0,1.04,1.07,4.7,5.7,1.21,1.27,1.25,1.3,2.14,2.32,1.29,1.34,1.250933406,1.250933367,1.250933358,1.250933359
Azerbaijan Premier League,2025-11-28,11:30:00,PFK Turan Tovuz,Neftchi Baku,2.84,3.3,2.68,3.15,2.84,3.35,1.58,1.73,2.36,2.74,1.92,2.16,1.86,2.1,8.0,10.0,7.8,9.6,15.0,19.0,14.5,130.0,8.2,10.5,5.9,7.4,11.0,14.0,16.5,140.0,16.0,21.0,11.5,14.5,16.5,21.0,8.6,290.0,18.0,220.0,18.0,220.0,8.4,460.0,8.2,1000.0,8.0,1000.0,8.6,600.0,8.6,1000.0,34996917,6658940.0,865343.0,58805.0,1.250985131,1.250985134,1.250985178,1.250985179,2.56,2.98,1.51,1.65,7.6,10.0,1.11,1.15,2.74,3.25,1.45,1.58,1.47,1.6,1.45,1.53,1.45,1.55,1.250985180,1.250985141,1.250985132,1.250985133
