League,Date,Time,Home,Away,Odd_H_Back,Odd_H_Lay,Odd_A_Back,Odd_A_Lay,Odd_D_Back,Odd_D_Lay,Odd_Under25_FT_Back,Odd_Under25_FT_Lay,Odd_Over25_FT_Back,Odd_Over25_FT_Lay,Odd_BTTS_Yes_Back,Odd_BTTS_Yes_Lay,Odd_BTTS_No_Back,Odd_BTTS_No_Lay,Odd_CS_0x0_Back,Odd_CS_0x0_Lay,Odd_CS_0x1_Back,Odd_CS_0x1_Lay,Odd_CS_0x2_Back,Odd_CS_0x2_Lay,Odd_CS_0x3_Back,Odd_CS_0x3_Lay,Odd_CS_1x0_Back,Odd_CS_1x0_Lay,Odd_CS_1x1_Back,Odd_CS_1x1_Lay,Odd_CS_1x2_Back,Odd_CS_1x2_Lay,Odd_CS_1x3_Back,Odd_CS_1x3_Lay,Odd_CS_2x0_Back,Odd_CS_2x0_Lay,Odd_CS_2x1_Back,Odd_CS_2x1_Lay,Odd_CS_2x2_Back,Odd_CS_2x2_Lay,Odd_CS_2x3_Back,Odd_CS_2x3_Lay,Odd_CS_3x0_Back,Odd_CS_3x0_Lay,Odd_CS_3x1_Back,Odd_CS_3x1_Lay,Odd_CS_3x2_Back,Odd_CS_3x2_Lay,Odd_CS_3x3_Back,Odd_CS_3x3_Lay,Odd_CS_Goleada_H_Back,Odd_CS_Goleada_H_Lay,Odd_CS_Goleada_A_Back,Odd_CS_Goleada_A_Lay,Odd_CS_Goleada_D_Back,Odd_CS_Goleada_D_Lay,ID_Evento,ID_Home,ID_Away,ID_Draw,IDMercado_Match_Odds,IDMercado_Over/Under_25_Goals,IDMercado_Both_teams_to_Score,IDMercado_Correct_Score,Odd_Under05_HT_Back,Odd_Under05_HT_Lay,Odd_Over05_HT_Back,Odd_Over05_HT_Lay,Odd_Under05_FT_Back,Odd_Under05_FT_Lay,Odd_Over05_FT_Back,Odd_Over05_FT_Lay,Odd_Under15_FT_Back,Odd_Under15_FT_Lay,Odd_Over15_FT_Back,Odd_Over15_FT_Lay,Double_Chance_Home_or_Draw_Back,Double_Chance_Home_or_Draw_Lay,Double_Chance_Draw_or_Away_Back,Double_Chance_Draw_or_Away_Lay,Double_Chance_Home_or_Away_Back,Double_Chance_Home_or_Away_Lay,IDMercado_Double_Chance,IDMercado_First_Half_Goals_05,IDMercado_Over/Under_05_Goals,IDMercado_Over/Under_15_Goals
Turkish 2 Lig,2026-01-27,07:00:00,1461 Trabzon,Belediye Derincespor,1.55,3.8,2.08,16.5,3.0,4.5,1.7,2.18,1.84,2.44,1.9,1000.0,1.01,2.1,1.25,90.0,1.33,500.0,1.33,500.0,1.34,900.0,1.32,500.0,1.23,42.0,1.33,500.0,1.34,500.0,1.33,500.0,1.32,500.0,1.32,500.0,1.34,500.0,1.34,900.0,1.34,500.0,1.34,500.0,85.0,580.0,1.55,600.0,1.55,600.0,1.35,1000.0,35193347.0,5289229.0,20375810.0,58805.0,1.253240138,1.253240183,1.253240222,1.253240147,2.52,55.0,1.3,1.65,13.5,15.5,1.07,1.08,1.7,15.5,1.07,2.42,1.14,1.93,1.39,2.82,1.29,1.5,1.253240139,1.253240141,1.253240142,1.253240186
Turkish 2 Lig,2026-01-27,09:00:00,Beyoglu Yeni Carsi,Elazigspor,3.75,4.3,1.93,2.08,3.5,4.2,2.12,2.32,1.76,1.89,1.69,1.85,2.18,2.46,7.8,18.5,6.2,11.5,7.6,14.5,13.0,25.0,8.4,17.5,4.9,9.2,7.0,11.5,9.2,22.0,10.5,50.0,9.0,17.5,10.5,17.0,14.5,55.0,9.0,290.0,14.5,90.0,8.6,80.0,8.4,580.0,7.6,600.0,5.4,13.0,9.2,960.0,35193345,62995859.0,196063.0,58805.0,1.253240228,1.253240273,1.253240312,1.253240237,3.4,3.75,1.37,1.42,15.5,18.5,1.05,1.07,4.2,4.9,1.25,1.3,1.92,2.08,1.3,1.35,1.32,1.38,1.253240229,1.253240231,1.253240232,1.253240276
Saudi 1st Division,2026-01-27,09:55:00,Abha,Al Jabalain,2.0,2.1,4.0,4.5,3.4,3.8,1.98,2.02,1.98,2.02,1.78,1.95,2.04,2.28,11.5,14.5,13.0,17.0,25.0,50.0,9.0,900.0,8.0,9.4,7.0,8.4,14.0,17.5,24.0,240.0,10.5,13.0,9.0,11.0,16.0,19.5,27.0,160.0,21.0,38.0,19.0,32.0,23.0,95.0,29.0,580.0,13.5,16.5,10.5,250.0,9.8,1000.0,35193527,10732580.0,12401456.0,58805.0,1.253243380,1.253243425,1.253243464,1.253243389,3.15,3.4,1.42,1.47,11.0,13.5,1.08,1.09,3.7,4.1,1.32,1.36,1.3,1.34,1.9,2.0,1.36,1.4,1.253243381,1.253243383,1.253243384,1.253243428
Saudi 1st Division,2026-01-27,09:55:00,Al-Jndal,Al-Anwar Club,3.35,3.85,2.28,2.48,3.15,3.55,1.68,1.76,2.3,2.48,1.92,2.1,1.9,2.1,5.6,22.0,7.4,16.5,6.6,970.0,8.0,900.0,9.4,27.0,6.2,7.6,5.6,22.0,8.8,970.0,7.4,970.0,7.0,970.0,9.0,60.0,8.6,500.0,9.0,900.0,8.6,150.0,9.0,190.0,9.6,580.0,8.8,600.0,7.6,55.0,10.0,1000.0,35193528,21772357.0,26786643.0,58805.0,1.253243290,1.253243335,1.253243374,1.253243299,2.84,3.05,1.49,1.55,8.6,12.5,1.1,1.12,3.1,3.35,1.43,1.47,1.68,1.79,1.37,1.42,1.39,1.46,1.253243291,1.253243293,1.253243294,1.253243338
Tunisian Ligue Professionelle 1,2026-01-27,10:00:00,Sportive De Tunis,Kairouan,1.14,1.15,22.0,1000.0,8.8,13.0,2.6,2.84,1.55,1.62,2.84,3.5,1.46,1.54,2.56,1000.0,4.2,1000.0,4.2,1000.0,4.2,1000.0,4.2,970.0,2.52,27.0,4.2,1000.0,4.2,1000.0,3.75,8.6,6.2,970.0,2.68,1000.0,4.2,1000.0,3.95,970.0,5.1,1000.0,2.66,500.0,2.76,650.0,2.92,29.0,5.0,1000.0,2.8,1000.0,35193341,14188149.0,9103235.0,58805.0,1.253238388,1.253238433,1.253238472,1.253238397,4.2,4.6,1.28,1.31,1.1,55.0,1.03,1.05,5.7,6.8,1.19,1.21,1.02,1.04,7.2,8.8,1.1,1.12,1.253238389,1.253238391,1.253238392,1.253238436
Tunisian Ligue Professionelle 1,2026-01-27,10:00:00,Club Sportif Sfaxien,ES Metlaoui,1.54,1.61,6.0,11.0,3.85,4.4,1.42,1.47,3.1,3.4,2.96,3.45,1.41,1.51,7.2,15.0,5.4,19.5,6.4,1000.0,4.2,1000.0,4.3,5.0,5.0,42.0,6.0,190.0,4.2,490.0,3.85,13.0,6.0,40.0,6.2,1000.0,4.2,440.0,6.0,48.0,5.9,160.0,6.8,500.0,7.0,1000.0,14.5,970.0,7.2,1000.0,7.2,1000.0,35193296,7438081.0,9034928.0,58805.0,1.253238569,1.253238614,1.253238653,1.253238578,2.34,2.5,1.67,1.75,7.6,8.8,1.14,1.15,2.32,2.48,1.68,1.76,1.1,1.15,2.6,2.86,1.32,1.36,1.253238570,1.253238572,1.253238573,1.253238617
Tunisian Ligue Professionelle 1,2026-01-27,10:00:00,CA Bizertin,JS Omrane,1.88,1.98,5.9,6.4,3.0,3.35,1.39,1.42,3.3,3.6,2.62,2.92,1.52,1.62,6.2,17.0,7.6,23.0,48.0,500.0,2.54,900.0,4.7,5.3,6.2,14.0,10.0,500.0,5.4,500.0,8.0,17.5,6.0,95.0,14.5,85.0,2.54,500.0,10.5,140.0,8.4,160.0,5.2,500.0,7.0,500.0,8.4,600.0,5.5,500.0,9.0,1000.0,35193302,7438197.0,69520058.0,58805.0,1.253238479,1.253238524,1.253238563,1.253238488,2.24,2.38,1.73,1.8,6.2,7.4,1.17,1.19,2.18,2.34,1.75,1.84,1.19,1.21,2.02,2.16,1.43,1.49,1.253238480,1.253238482,1.253238483,1.253238527
Egyptian Premier,2026-01-27,12:00:00,Al Ahly Cairo,Wadi Degla,1.6,1.63,7.2,8.4,3.9,4.1,1.67,1.71,2.42,2.5,2.26,2.4,1.71,1.8,10.0,12.5,16.0,19.5,11.5,70.0,48.0,330.0,5.6,6.4,8.0,9.2,24.0,32.0,12.0,180.0,7.2,8.4,8.8,9.6,16.5,1000.0,12.0,500.0,7.4,16.0,16.5,40.0,26.0,1000.0,28.0,580.0,11.5,14.0,90.0,320.0,12.0,1000.0,35179511,4768314.0,5259318.0,58805.0,1.253065616,1.253065661,1.253065700,1.253065625,2.8,2.94,1.52,1.56,10.0,12.5,1.1,1.12,3.05,3.2,1.46,1.49,1.14,1.16,2.56,2.7,1.32,1.35,1.253065617,1.253065619,1.253065620,1.253065664
Dutch Eerste Divisie,2026-01-27,16:00:00,Emmen,Cambuur Leeuwarden,3.7,4.1,1.98,2.04,3.95,4.2,2.56,2.76,1.56,1.64,1.55,1.62,2.6,2.82,21.0,24.0,12.5,14.5,14.0,15.5,20.0,24.0,19.5,22.0,8.6,9.6,10.0,11.0,16.5,18.5,29.0,34.0,14.0,17.5,13.0,15.0,23.0,26.0,28.0,70.0,32.0,40.0,18.0,40.0,42.0,200.0,22.0,27.0,8.2,9.4,46.0,960.0,35185168,419126.0,8942269.0,58805.0,1.253133613,1.253133616,1.253133660,1.253133661,4.0,4.5,1.29,1.33,8.6,36.0,1.03,1.06,5.6,6.4,1.19,1.22,1.96,2.04,1.32,1.37,1.31,1.34,1.253133662,1.253133623,1.253133614,1.253133615
German Bundesliga,2026-01-27,16:30:00,Werder Bremen,Hoffenheim,3.7,3.75,2.12,2.16,3.8,3.85,2.34,2.38,1.72,1.74,1.63,1.67,2.48,2.6,18.5,20.0,11.5,13.0,13.5,14.5,23.0,26.0,17.0,18.5,8.2,8.6,10.0,11.0,18.0,19.0,26.0,28.0,14.0,15.0,14.0,14.5,26.0,28.0,50.0,65.0,32.0,38.0,38.0,42.0,48.0,65.0,27.0,30.0,11.0,12.0,110.0,960.0,35167055,6555433.0,208026.0,58805.0,1.252933342,1.252933326,1.252933341,1.252933351,3.8,3.9,1.34,1.36,18.5,21.0,1.05,1.06,5.1,5.3,1.23,1.24,1.87,1.9,1.36,1.38,1.35,1.36,1.252933344,1.252933346,1.252933347,1.252933329
