,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A
1,MEXICO - LIGA MX,04/03/2024,00:00,Club Tijuana,Club Leon,2.200000047683716,3.5,3.200000047683716
2,ARMENIA - PREMIER LEAGUE,04/03/2024,08:00,Pyunik Yerevan,West Armenia,1.19,5.7,10.5
3,BULGARIA - PARVA LIGA,04/03/2024,10:00,Arda,Pirin Blagoevgrad,1.5,4.0,8.0
4,ROMANIA - LIGA 1,04/03/2024,12:00,Sepsi Sf. Gheorghe,FC Voluntari,1.62,3.6,5.0
5,CROATIA - HNL,04/03/2024,13:00,Rudes,Gorica,4.0,3.1,1.91
6,ROMANIA - LIGA 1,04/03/2024,15:00,Univ. Craiova,FC Rapid Bucuresti,2.25,3.2,3.1
7,POLAND - EKSTRAKLASA,04/03/2024,15:00,Radomiak Radom,Stal Mielec,1.85,3.3,4.0
8,SPAIN - LALIGA2,04/03/2024,16:30,Elche,Alcorcon,1.55,3.6,7.5
9,IRELAND - PREMIER DIVISION,04/03/2024,16:45,Dundalk,Sligo Rovers,2.15,3.4,3.4
10,IRELAND - PREMIER DIVISION,04/03/2024,16:45,Waterford,St. Patricks,3.1,3.1,2.38
11,IRELAND - PREMIER DIVISION,04/03/2024,16:45,Shelbourne,Galway,2.1,3.2,3.75
12,IRELAND - PREMIER DIVISION,04/03/2024,16:45,Shamrock Rovers,Derry City,2.2,3.1,3.4
13,IRELAND - PREMIER DIVISION,04/03/2024,16:45,Drogheda,Bohemians,3.75,3.6,1.91
14,PORTUGAL - LIGA PORTUGAL,04/03/2024,17:15,Famalicao,Boavista,1.95,3.3,4.2
15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,04/03/2024,21:00,Instituto,Huracan,2.2,3.1,3.5
