,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,IRELAND - PREMIER DIVISION,2024-06-03,13:00:00,Sligo Rovers,Drogheda,3.0,1.0,2.72,3.25,2.94,10.0,1.229548,1,1,0.94,0.94
2,IRELAND - PREMIER DIVISION,2024-06-03,13:00:00,Sligo Rovers,Drogheda,2.0,1.0,2.72,3.25,2.94,10.0,1.229548,1,1,0.94,1.88
3,FINLAND - YKKONEN,2024-06-03,13:00:00,OLS Oulu,Rovaniemi,4.0,0.0,1.38,4.7,5.0,48.0,1.2295705,1,1,0.94,2.82
4,SERBIA - SUPER LIGA,2024-06-03,13:00:00,Javor,Tekstilac Odzaci,1.0,1.0,1.22,6.4,21.0,980.0,1.2295898,1,1,0.94,3.76
5,IRELAND - PREMIER DIVISION,2024-06-03,13:15:00,St. Patricks,Dundalk,2.0,3.0,2.0,3.5,4.3,14.0,1.2295482,1,1,0.94,4.699999999999999
6,IRELAND - PREMIER DIVISION,2024-06-03,14:00:00,Derry City,Waterford,3.0,0.0,1.56,4.3,7.0,23.0,1.2295481,1,1,0.94,5.639999999999999
7,URUGUAY - PRIMERA DIVISION,2024-06-03,15:00:00,Danubio,Maldonado,1.0,1.0,2.44,3.1,3.35,13.0,1.2294345,1,1,0.94,6.579999999999998
8,SERBIA - SUPER LIGA,2024-06-03,15:00:00,Zeleznicar Pancevo,FK Indjija,2.0,0.0,1.47,4.2,7.0,980.0,1.2295899,1,1,0.94,7.519999999999998
9,BRAZIL - SERIE B,2024-06-03,20:00:00,Santos,Botafogo SP,1.0,2.0,1.55,4.0,9.4,22.0,1.2294245,1,1,0.94,8.459999999999997
10,BRAZIL - SERIE B,2024-06-03,21:00:00,Operario,Amazonas,1.0,0.0,1.84,3.45,5.8,14.5,1.2294307,1,1,0.94,9.399999999999997
11,ARGENTINA - LIGA PROFESIONAL,2024-06-03,21:15:00,Estudiantes L.P.,Godoy Cruz,1.0,1.0,2.0,3.35,4.7,12.0,1.2293895,1,1,0.94,10.339999999999996
12,ARGENTINA - LIGA PROFESIONAL,2024-06-03,21:15:00,Defensa y Justicia,Independiente,0.0,0.0,3.05,3.1,2.72,8.0,1.2293897,1,1,0.94,11.279999999999996
