Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5557165,Brazil Serie C,2023,2023-05-02 19:00:00,1,EC São José,Floresta,0,0,1.63,3.25,5.2,1.11,6.0,1.45,2.6,2.31,1.48,4.75,1.17,9.0,1.05,2.25,1.6
5557169,Brazil Serie C,2023,2023-05-02 19:00:00,1,Volta Redonda,Pouso Alegre,0,1,1.8,3.25,4.3,1.08,8.0,1.44,2.6,2.5,1.49,4.28,1.18,7.95,1.05,2.15,1.65
5557173,Brazil Serie C,2023,2023-05-02 21:30:00,1,Manaus,Náutico,2,1,2.33,3.05,2.77,1.09,7.35,1.5,2.55,2.45,1.5,4.4,1.17,8.2,1.04,2.0,1.75
5557168,Brazil Serie C,2023,2023-05-03 19:00:00,1,América RN,Ypiranga Erechim,1,2,2.0,3.05,3.6,1.05,7.2,1.39,2.67,2.23,1.6,4.15,1.18,8.2,1.03,1.93,1.74
5557174,Brazil Serie C,2023,2023-05-03 19:00:00,1,Brusque,Amazonas,1,0,1.8,3.2,4.4,1.05,7.1,1.41,2.6,2.19,1.6,4.25,1.17,8.4,1.03,2.04,1.66
5557166,Brazil Serie C,2023,2023-05-03 21:30:00,1,Paysandu,Aparecidense,2,1,1.84,3.25,4.1,1.05,7.2,1.4,2.64,2.3,1.55,4.15,1.17,8.2,1.03,1.95,1.72
5557170,Brazil Serie C,2023,2023-05-04 18:00:00,1,CSA,Confiança,0,1,1.78,3.3,4.6,1.06,7.5,1.4,2.75,2.27,1.56,4.5,1.17,9.5,1.04,2.2,1.6
5557171,Brazil Serie C,2023,2023-05-04 19:00:00,1,Botafogo PB,Operário PR,2,1,2.3,2.95,2.8,0.0,0.0,1.5,2.45,2.29,1.56,0.0,0.0,0.0,0.0,0.0,0.0
5557167,Brazil Serie C,2023,2023-05-04 21:30:00,1,São Bernardo,Remo,3,1,1.95,3.1,3.4,1.06,7.5,1.4,2.75,2.21,1.52,4.5,1.17,9.5,1.04,2.05,1.68
5557172,Brazil Serie C,2023,2023-05-04 21:30:00,1,Altos,Figueirense,0,0,2.75,2.9,2.5,1.09,7.35,1.45,2.57,2.4,1.51,4.37,1.17,8.15,1.04,2.0,1.72
5557184,Brazil Serie C,2023,2023-05-06 16:00:00,2,Amazonas,América RN,2,0,2.1,3.0,3.35,1.07,8.7,1.4,2.75,2.17,1.56,4.0,1.21,7.4,1.06,1.95,1.81
5557181,Brazil Serie C,2023,2023-05-06 16:30:00,2,Floresta,Volta Redonda,2,1,2.75,2.95,2.5,1.07,8.45,1.39,2.75,2.25,1.58,3.98,1.21,7.4,1.06,1.98,1.78
5557179,Brazil Serie C,2023,2023-05-06 19:00:00,2,Pouso Alegre,Brusque,1,0,2.3,3.05,2.95,1.07,8.85,1.37,2.87,2.18,1.67,3.78,1.23,7.05,1.07,1.92,1.84
5557178,Brazil Serie C,2023,2023-05-06 19:00:00,2,Náutico,EC São José,2,1,1.95,3.1,3.9,1.07,8.7,1.37,2.86,2.12,1.64,3.78,1.23,7.05,1.07,2.0,1.77
5557177,Brazil Serie C,2023,2023-05-07 16:30:00,2,Operário PR,Manaus,2,0,1.62,3.26,4.46,0.0,0.0,0.0,0.0,2.16,1.54,0.0,0.0,0.0,0.0,0.0,0.0
5557175,Brazil Serie C,2023,2023-05-07 16:30:00,2,Ypiranga Erechim,CSA,1,1,2.3,2.9,2.9,1.07,8.5,1.39,2.76,2.3,1.53,3.97,1.21,7.35,1.06,1.94,1.82
5557176,Brazil Serie C,2023,2023-05-07 19:00:00,2,Remo,Botafogo PB,1,2,1.95,3.0,3.6,1.09,7.7,1.5,2.5,2.36,1.52,4.43,1.17,8.2,1.04,2.1,1.7
5557182,Brazil Serie C,2023,2023-05-07 19:00:00,2,Aparecidense,São Bernardo,1,2,2.2,3.0,3.1,1.07,8.85,1.37,2.85,2.2,1.6,3.8,1.22,7.1,1.07,1.93,1.83
