Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5556985,Brazil Serie D,2023,2023-05-06 11:00:00,1,Nova Iguaçu,Athletic Club,1,2,2.55,3.05,2.8,0.0,0.0,0.0,0.0,2.37,1.52,0.0,0.0,0.0,0.0,0.0,0.0
5556988,Brazil Serie D,2023,2023-05-06 15:00:00,1,Vitória Futebol Clube (ES),Resende,1,1,2.45,3.0,2.8,1.05,8.0,1.39,2.67,2.28,1.58,4.1,1.18,9.0,1.03,1.95,1.73
5556929,Brazil Serie D,2023,2023-05-06 15:30:00,1,Ceilândia,Iporá,4,0,2.05,3.05,3.55,1.06,7.2,1.42,2.57,2.32,1.49,4.4,1.16,10.0,1.02,2.1,1.65
5557098,Brazil Serie D,2023,2023-05-06 15:30:00,1,Independiente FSJ,Caxias,2,1,3.55,3.2,2.06,1.05,7.5,1.37,2.75,2.23,1.58,3.98,1.19,9.0,1.03,1.95,1.73
5556708,Brazil Serie D,2023,2023-05-06 16:00:00,1,Trem,Tuna Luso,1,0,2.35,3.2,2.75,1.03,9.0,1.29,3.25,1.87,1.77,3.2,1.31,6.4,1.08,1.71,1.97
5556874,Brazil Serie D,2023,2023-05-06 16:00:00,1,Falcon,Retrô,1,1,4.8,3.45,1.67,0.0,0.0,0.0,0.0,2.19,1.6,0.0,0.0,0.0,0.0,0.0,0.0
5556931,Brazil Serie D,2023,2023-05-06 16:00:00,1,Interporto,União Rondonópolis,0,2,2.63,3.24,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5556932,Brazil Serie D,2023,2023-05-06 16:00:00,1,CEOV Operário,Brasiliense,0,2,4.1,3.3,1.89,1.06,7.2,1.42,2.57,2.35,1.5,4.4,1.16,10.0,1.02,2.12,1.61
5557042,Brazil Serie D,2023,2023-05-06 16:00:00,1,Cascavel CR,CRAC,0,2,1.73,3.2,4.5,1.07,7.0,1.43,2.54,2.4,1.53,4.44,1.15,10.0,1.02,2.16,1.66
5557043,Brazil Serie D,2023,2023-05-06 17:00:00,1,Ferroviária,Operário MT,0,0,1.62,3.4,5.0,1.05,8.0,1.36,2.79,2.13,1.59,3.84,1.2,8.0,1.05,2.03,1.67
5556873,Brazil Serie D,2023,2023-05-06 17:00:00,1,Bahia de Feira,Sergipe,3,1,2.05,3.05,3.55,1.05,8.0,1.36,2.79,2.13,1.59,3.84,1.2,8.0,1.05,1.9,1.77
5557041,Brazil Serie D,2023,2023-05-06 17:00:00,1,XV de Piracicaba,Maringá,1,1,2.4,3.15,2.75,1.05,8.0,1.38,2.71,2.22,1.59,4.04,1.18,9.0,1.03,1.95,1.78
5556930,Brazil Serie D,2023,2023-05-06 17:00:00,1,Anápolis,Real Ariquemes,1,0,1.63,3.45,5.0,1.05,8.0,1.36,2.79,2.19,1.66,3.84,1.2,9.0,1.03,2.3,1.52
5557044,Brazil Serie D,2023,2023-05-06 18:00:00,1,CAP,Inter de Limeira,1,1,2.42,3.05,2.95,1.05,8.0,1.37,2.75,2.25,1.58,3.98,1.19,9.0,1.03,1.87,1.79
5556987,Brazil Serie D,2023,2023-05-06 18:00:00,1,Portuguesa RJ,Noroeste,5,2,1.85,3.2,4.1,1.09,7.35,1.47,2.3,2.4,1.5,4.57,1.16,8.4,1.04,2.17,1.66
5556820,Brazil Serie D,2023,2023-05-06 19:00:00,1,Pacajus,Campinense,2,2,1.91,3.25,3.6,1.06,7.5,1.44,2.51,2.0,1.8,4.44,1.15,9.0,1.03,2.04,1.66
5556763,Brazil Serie D,2023,2023-05-07 15:00:00,1,Caucaia,Cordino,2,2,1.75,3.4,4.2,1.05,8.0,1.36,2.88,2.28,1.58,4.5,1.17,9.0,1.03,2.1,1.65
5557100,Brazil Serie D,2023,2023-05-07 15:00:00,1,Concórdia AC,Brasil de Pelotas,2,1,3.1,3.1,2.1,0.0,0.0,0.0,0.0,2.21,1.59,0.0,0.0,0.0,0.0,0.0,0.0
5556818,Brazil Serie D,2023,2023-05-07 16:00:00,1,Globo,Sousa,2,5,3.3,3.1,2.1,1.06,8.75,1.35,2.9,1.96,1.78,3.75,1.23,7.75,1.07,1.88,1.88
5556875,Brazil Serie D,2023,2023-05-07 16:00:00,1,Jacuipense,ASA,1,2,2.1,3.0,3.3,1.08,7.9,1.43,2.62,2.33,1.55,4.25,1.18,7.9,1.05,2.0,1.75
5556876,Brazil Serie D,2023,2023-05-07 16:00:00,1,Cruzeiro Arapiraca,Atlético Alagoinhas,1,0,2.55,3.0,2.63,1.08,8.3,1.41,2.7,2.33,1.55,4.08,1.2,7.6,1.05,2.0,1.72
5556764,Brazil Serie D,2023,2023-05-07 16:00:00,1,Maranhão,Uniclinic,1,1,1.91,3.1,3.8,1.08,7.9,1.45,2.58,2.4,1.53,4.35,1.18,8.0,1.05,2.05,1.73
5557097,Brazil Serie D,2023,2023-05-07 16:00:00,1,Aimoré,Hercílio Luz,0,0,2.7,2.88,2.6,1.06,7.5,1.42,2.65,2.28,1.58,4.1,1.2,9.0,1.03,1.95,1.75
