Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5845441,China Chinese Super League,2023,2023-04-15 08:35:00,1,Dalian Yifang,Nantong Zhiyun,2,1,2.1,3.45,3.14,1.04,8.5,1.33,3.2,1.96,1.75,3.6,1.25,5.6,1.11,1.75,2.0
5845442,China Chinese Super League,2023,2023-04-15 08:35:00,1,Wuhan Three Towns,Shanghai SIPG,0,2,2.0,3.5,3.34,1.02,11.5,1.25,3.75,1.75,1.96,3.0,1.36,5.7,1.12,1.62,2.2
5845443,China Chinese Super League,2023,2023-04-15 08:35:00,1,Hangzhou,Changchun Yatai,0,2,1.7,3.7,4.42,1.05,8.5,1.28,3.34,1.9,1.8,3.15,1.3,6.0,1.09,1.91,1.91
5845444,China Chinese Super League,2023,2023-04-15 09:05:00,1,Beijing Guoan,Meizhou Hakka,1,1,1.6,3.8,5.08,1.03,10.0,1.31,3.3,1.9,1.8,3.4,1.29,6.8,1.08,2.1,1.63
5845445,China Chinese Super League,2023,2023-04-16 08:35:00,1,Henan Jianye,Chengdu Better City FC,1,1,2.6,3.3,2.5,1.06,11.25,1.31,3.48,1.95,1.85,3.38,1.33,6.55,1.11,1.75,2.0
5845446,China Chinese Super League,2023,2023-04-16 08:35:00,1,Tianjin Teda,Shijiazhuang Ever Bright,1,1,1.95,3.52,3.82,1.06,11.0,1.3,3.3,2.0,1.82,3.5,1.28,6.8,1.11,1.8,1.95
5845447,China Chinese Super League,2023,2023-04-16 08:35:00,1,Shanghai Shenhua,Shandong Luneng,1,0,3.0,3.35,1.93,1.05,13.0,1.27,3.6,1.7,1.95,3.1,1.35,5.7,1.14,1.7,2.05
5845448,China Chinese Super League,2023,2023-04-16 08:35:00,1,Shenzhen,Qingdao Jonoon,2,1,3.5,3.25,2.0,1.05,9.0,1.25,3.7,1.77,1.93,2.95,1.37,5.45,1.14,1.75,2.03
5845449,China Chinese Super League,2023,2023-04-20 08:35:00,2,Wuhan Three Towns,Beijing Guoan,1,1,1.89,3.28,3.17,1.05,9.0,1.28,3.5,1.75,1.85,3.2,1.33,5.5,1.12,1.62,2.2
5845450,China Chinese Super League,2023,2023-04-21 06:30:00,2,Tianjin Teda,Hangzhou,2,1,2.69,3.17,2.37,1.07,10.0,1.4,2.8,2.0,1.67,4.33,1.2,7.45,1.09,1.9,1.83
