Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
5406432,Brazil Serie A,2023,2023-04-15 16:00:00,1,Palmeiras,Cuiabá,2,1,1.29,5.7,10.0,1.03,13.0,1.25,3.6,1.83,1.98,2.9,1.36,5.25,1.13,2.2,1.62
5406439,Brazil Serie A,2023,2023-04-15 16:00:00,1,América Mineiro,Fluminense,0,3,2.88,3.45,2.4,1.05,8.0,1.33,3.0,2.05,1.78,3.4,1.29,6.0,1.09,1.75,2.0
5406431,Brazil Serie A,2023,2023-04-15 18:30:00,1,Botafogo,São Paulo,2,1,2.7,3.1,2.8,1.09,7.5,1.45,2.7,2.4,1.56,4.75,1.2,9.5,1.05,1.95,1.8
5406434,Brazil Serie A,2023,2023-04-15 18:30:00,1,Bragantino,Bahia,2,1,1.95,3.45,4.0,1.07,8.0,1.35,2.95,2.2,1.68,3.6,1.25,7.0,1.08,1.91,1.91
5406437,Brazil Serie A,2023,2023-04-15 18:30:00,1,Atlético PR,Goiás,2,0,1.5,4.05,7.3,1.05,8.0,1.3,3.2,1.98,1.83,3.3,1.29,6.0,1.09,2.05,1.7
5406438,Brazil Serie A,2023,2023-04-15 18:30:00,1,Fortaleza,Internacional,1,1,2.3,3.2,3.3,1.08,7.25,1.39,2.75,2.28,1.63,3.9,1.22,7.75,1.07,1.95,1.8
5406435,Brazil Serie A,2023,2023-04-15 21:00:00,1,Atlético Mineiro,Vasco da Gama,1,2,1.6,4.2,5.2,1.02,9.5,1.25,3.5,1.9,1.91,3.3,1.28,6.5,1.07,1.91,1.91
5406430,Brazil Serie A,2023,2023-04-16 16:00:00,1,Flamengo,Coritiba,3,0,1.34,5.1,8.9,1.03,13.0,1.22,4.2,1.95,1.7,2.9,1.4,5.5,1.15,2.05,1.7
5406433,Brazil Serie A,2023,2023-04-16 16:00:00,1,Corinthians,Cruzeiro,2,1,1.87,3.2,3.96,1.07,7.5,1.38,2.8,2.35,1.48,3.8,1.23,7.75,1.07,2.2,1.62
5406436,Brazil Serie A,2023,2023-04-16 18:30:00,1,Grêmio,Santos,1,0,1.54,4.1,6.2,1.07,10.25,1.35,3.25,2.25,1.53,3.67,1.29,7.2,1.1,2.1,1.67
5406440,Brazil Serie A,2023,2023-04-22 16:00:00,2,Fluminense,Atlético PR,2,0,1.62,3.8,6.0,1.05,11.0,1.3,3.4,1.95,1.85,3.5,1.3,6.5,1.1,1.95,1.8
5406449,Brazil Serie A,2023,2023-04-22 18:30:00,2,Cuiabá,Bragantino,1,1,2.4,3.2,3.1,1.07,9.0,1.4,2.95,2.2,1.65,4.2,1.22,8.0,1.07,1.95,1.8
5406442,Brazil Serie A,2023,2023-04-22 18:30:00,2,São Paulo,América Mineiro,3,0,1.75,3.6,5.0,1.05,10.0,1.33,3.25,2.05,1.75,3.75,1.28,7.0,1.09,1.95,1.8
5406445,Brazil Serie A,2023,2023-04-22 21:00:00,2,Cruzeiro,Grêmio,1,0,2.5,3.2,2.9,1.08,7.0,1.4,2.75,2.25,1.62,4.0,1.22,7.5,1.07,1.95,1.8
5406446,Brazil Serie A,2023,2023-04-23 11:00:00,2,Internacional,Flamengo,2,1,3.05,3.0,2.28,1.07,9.5,1.38,3.0,2.2,1.68,4.0,1.25,8.0,1.07,1.91,1.91
5406441,Brazil Serie A,2023,2023-04-23 16:00:00,2,Vasco da Gama,Palmeiras,2,2,3.2,3.1,2.05,1.07,9.75,1.35,3.22,2.05,1.71,3.7,1.28,7.35,1.09,1.8,1.95
5406443,Brazil Serie A,2023,2023-04-23 16:00:00,2,Santos,Atlético Mineiro,0,0,3.05,3.0,2.15,1.08,7.25,1.39,2.75,2.08,1.62,3.9,1.22,8.0,1.07,1.95,1.8
5406447,Brazil Serie A,2023,2023-04-23 18:30:00,2,Coritiba,Fortaleza,0,3,2.8,3.0,2.3,1.08,8.5,1.4,2.95,2.2,1.6,4.2,1.22,8.0,1.07,1.9,1.87
5406444,Brazil Serie A,2023,2023-04-23 19:00:00,2,Goiás,Corinthians,3,1,3.0,3.0,2.6,1.11,7.3,1.5,2.6,2.5,1.5,4.9,1.18,10.25,1.05,2.05,1.7
5406448,Brazil Serie A,2023,2023-04-24 20:00:00,2,Bahia,Botafogo,1,2,2.2,3.25,3.5,1.08,8.0,1.42,2.8,2.2,1.65,4.5,1.2,9.0,1.05,1.95,1.8
5406457,Brazil Serie A,2023,2023-04-29 16:30:00,3,Coritiba,São Paulo,1,1,3.0,3.13,2.45,1.08,8.5,1.42,2.8,2.3,1.6,4.5,1.2,9.0,1.05,1.95,1.8
5406458,Brazil Serie A,2023,2023-04-29 16:30:00,3,Fortaleza,Fluminense,4,2,2.5,3.3,2.8,1.06,10.0,1.35,3.2,2.05,1.75,3.75,1.25,7.5,1.08,1.95,1.8
5406454,Brazil Serie A,2023,2023-04-29 18:30:00,3,Bragantino,Cruzeiro,0,3,2.15,3.3,3.4,1.06,9.5,1.36,3.1,2.1,1.7,3.75,1.25,7.5,1.08,1.95,1.8
5406453,Brazil Serie A,2023,2023-04-29 18:30:00,3,Santos,América Mineiro,3,2,2.25,3.2,3.25,1.07,9.0,1.4,2.95,2.2,1.65,4.2,1.22,8.0,1.07,1.95,1.8
5406452,Brazil Serie A,2023,2023-04-29 18:30:00,3,Palmeiras,Corinthians,2,1,1.55,3.9,6.0,1.05,11.0,1.3,3.4,2.0,1.78,3.5,1.3,6.5,1.1,2.05,1.7
5406455,Brazil Serie A,2023,2023-04-29 21:00:00,3,Atlético Mineiro,Atlético PR,2,1,1.65,3.5,5.0,1.06,10.0,1.36,3.2,2.08,1.73,3.75,1.25,7.5,1.08,2.0,1.75
5406450,Brazil Serie A,2023,2023-04-30 16:00:00,3,Flamengo,Botafogo,2,3,1.54,3.9,5.4,1.05,9.0,1.29,3.5,1.87,1.8,3.0,1.36,5.5,1.12,2.0,1.75
5406456,Brazil Serie A,2023,2023-04-30 18:30:00,3,Internacional,Goiás,1,0,1.46,4.05,6.35,1.05,11.0,1.3,3.4,1.92,1.76,3.5,1.3,6.5,1.1,2.1,1.67
5406459,Brazil Serie A,2023,2023-04-30 18:30:00,3,Cuiabá,Grêmio,1,2,2.52,3.0,2.77,1.08,7.25,1.4,2.7,2.14,1.61,4.0,1.21,8.25,1.06,1.95,1.8
5406451,Brazil Serie A,2023,2023-05-01 20:00:00,3,Vasco da Gama,Bahia,0,1,1.65,3.6,4.75,1.07,8.0,1.34,2.95,2.15,1.67,3.5,1.26,7.0,1.08,2.1,1.67
5406465,Brazil Serie A,2023,2023-05-06 16:00:00,4,Cruzeiro,Santos,2,1,2.13,3.35,3.55,1.06,9.5,1.38,3.0,2.13,1.71,4.0,1.22,8.0,1.07,2.05,1.7
5406460,Brazil Serie A,2023,2023-05-06 21:00:00,4,Fluminense,Vasco da Gama,1,1,1.7,3.8,4.75,1.05,11.0,1.3,3.5,1.85,1.95,3.4,1.33,6.5,1.11,1.8,1.95
5406469,Brazil Serie A,2023,2023-05-07 11:00:00,4,América Mineiro,Cuiabá,1,2,1.71,3.85,4.8,1.06,8.75,1.32,3.1,1.94,1.86,3.4,1.28,6.5,1.09,1.95,1.8
5406462,Brazil Serie A,2023,2023-05-07 16:00:00,4,São Paulo,Internacional,2,0,1.91,3.1,3.75,1.05,8.0,1.33,3.0,2.15,1.61,3.4,1.29,6.0,1.09,1.91,1.91
5406468,Brazil Serie A,2023,2023-05-07 16:00:00,4,Bahia,Coritiba,3,1,2.05,3.0,3.4,1.07,8.5,1.36,3.1,2.15,1.61,3.75,1.25,7.5,1.08,1.95,1.8
5406467,Brazil Serie A,2023,2023-05-07 16:00:00,4,Atlético PR,Flamengo,2,1,3.4,3.1,2.0,1.04,12.0,1.3,3.5,2.0,1.73,3.3,1.33,6.5,1.11,1.75,2.0
5406461,Brazil Serie A,2023,2023-05-07 18:30:00,4,Botafogo,Atlético Mineiro,2,0,2.75,3.1,2.35,1.06,9.0,1.38,3.0,1.95,1.75,4.0,1.22,8.0,1.07,1.95,1.8
5406464,Brazil Serie A,2023,2023-05-07 18:30:00,4,Goiás,Palmeiras,0,5,4.5,3.25,1.7,1.05,10.0,1.36,3.2,2.1,1.67,3.75,1.25,7.5,1.08,2.0,1.75
5406466,Brazil Serie A,2023,2023-05-07 18:30:00,4,Grêmio,Bragantino,3,3,1.85,3.1,3.9,1.06,8.75,1.32,3.1,2.1,1.67,3.4,1.27,6.5,1.09,1.95,1.8
5406463,Brazil Serie A,2023,2023-05-08 20:00:00,4,Corinthians,Fortaleza,1,1,2.25,3.25,3.3,1.06,7.0,1.4,2.7,2.25,1.62,3.8,1.22,6.7,1.07,1.95,1.8
5406476,Brazil Serie A,2023,2023-05-10 19:00:00,5,Internacional,Atlético PR,0,2,1.8,3.5,4.75,1.07,9.0,1.4,2.95,2.08,1.73,4.2,1.22,8.5,1.06,1.95,1.8
5406473,Brazil Serie A,2023,2023-05-10 19:00:00,5,Santos,Bahia,3,0,2.3,3.2,3.3,1.07,9.0,1.38,3.0,2.35,1.57,4.0,1.25,8.0,1.07,2.0,1.75
5406474,Brazil Serie A,2023,2023-05-10 19:00:00,5,Bragantino,América Mineiro,2,2,1.8,3.75,4.5,1.06,8.0,1.33,3.25,1.8,2.0,3.4,1.3,6.0,1.11,1.7,2.05
5406470,Brazil Serie A,2023,2023-05-10 20:00:00,5,Flamengo,Goiás,2,0,1.25,5.5,13.0,1.0,10.5,1.17,4.33,1.62,2.25,2.45,1.47,4.25,1.17,2.1,1.67
5406479,Brazil Serie A,2023,2023-05-10 20:00:00,5,Cuiabá,Atlético Mineiro,0,4,3.4,3.25,2.25,1.08,6.5,1.43,2.63,2.35,1.57,4.0,1.2,8.0,1.05,2.0,1.75
5406472,Brazil Serie A,2023,2023-05-10 21:30:00,5,Palmeiras,Grêmio,4,1,1.45,4.33,7.5,1.05,9.0,1.29,3.5,1.73,2.08,3.0,1.36,5.5,1.12,1.91,1.91
5406475,Brazil Serie A,2023,2023-05-10 21:30:00,5,Cruzeiro,Fluminense,0,2,2.7,3.25,2.75,1.07,7.5,1.33,3.25,2.1,1.7,3.5,1.29,6.5,1.1,1.8,1.95
5406477,Brazil Serie A,2023,2023-05-11 19:00:00,5,Coritiba,Vasco da Gama,1,1,3.3,3.0,2.38,1.08,7.0,1.36,3.0,2.25,1.62,3.75,1.25,7.0,1.08,1.95,1.8
5406471,Brazil Serie A,2023,2023-05-11 19:30:00,5,Botafogo,Corinthians,3,0,1.91,3.3,4.33,1.08,7.0,1.4,2.75,2.2,1.65,3.75,1.25,7.0,1.08,2.0,1.75
5406478,Brazil Serie A,2023,2023-05-11 20:00:00,5,Fortaleza,São Paulo,0,0,1.95,3.4,4.2,1.07,7.5,1.36,3.0,2.1,1.7,3.5,1.29,7.0,1.08,1.95,1.8
5406488,Brazil Serie A,2023,2023-05-13 16:00:00,6,Bahia,Flamengo,2,3,2.99,3.25,2.18,1.05,11.0,1.3,3.4,2.02,1.86,3.4,1.3,6.5,1.1,1.75,2.0
5406480,Brazil Serie A,2023,2023-05-13 18:30:00,6,Fluminense,Cuiabá,2,0,1.39,4.3,6.6,1.05,9.0,1.25,3.75,1.79,1.96,3.0,1.36,5.0,1.14,1.95,1.8
5406482,Brazil Serie A,2023,2023-05-13 18:30:00,6,Palmeiras,Bragantino,1,1,1.42,3.98,5.99,1.04,14.0,1.26,3.95,1.86,2.02,2.95,1.41,5.5,1.15,1.91,1.91
5406485,Brazil Serie A,2023,2023-05-13 21:00:00,6,Atlético Mineiro,Internacional,2,0,1.53,4.0,6.5,1.06,10.5,1.34,3.3,1.95,1.85,3.6,1.3,7.05,1.1,2.0,1.75
5406481,Brazil Serie A,2023,2023-05-14 16:00:00,6,Vasco da Gama,Santos,0,1,1.88,3.2,3.69,1.07,9.0,1.4,2.95,2.25,1.62,4.2,1.22,8.0,1.07,2.0,1.75
5406483,Brazil Serie A,2023,2023-05-14 16:00:00,6,Corinthians,São Paulo,1,1,2.06,3.15,3.2,1.08,8.5,1.42,2.8,2.3,1.6,4.5,1.2,9.0,1.05,1.95,1.8
5406486,Brazil Serie A,2023,2023-05-14 16:00:00,6,Grêmio,Fortaleza,0,0,2.0,3.23,3.28,1.06,8.0,1.33,3.25,2.0,1.8,3.4,1.3,6.0,1.11,1.75,2.0
5406484,Brazil Serie A,2023,2023-05-14 18:30:00,6,Goiás,Botafogo,2,1,3.1,3.1,2.13,1.07,9.0,1.4,2.95,2.15,1.67,4.2,1.22,8.0,1.07,1.8,1.95
5406487,Brazil Serie A,2023,2023-05-14 18:30:00,6,Atlético PR,Coritiba,3,2,1.58,3.55,4.98,1.06,8.0,1.3,3.4,2.0,1.8,3.25,1.33,6.0,1.11,1.95,1.8
5406489,Brazil Serie A,2023,2023-05-14 18:30:00,6,América Mineiro,Cruzeiro,0,4,2.14,3.24,2.95,1.06,8.5,1.32,3.1,2.0,1.8,3.4,1.27,6.5,1.09,1.75,2.0
5406498,Brazil Serie A,2023,2023-05-20 16:00:00,7,Bahia,Goiás,1,1,1.67,3.5,4.8,1.04,12.0,1.3,3.4,1.85,1.8,3.5,1.3,6.5,1.1,1.91,1.91
5406491,Brazil Serie A,2023,2023-05-20 18:30:00,7,Botafogo,Fluminense,1,0,2.8,3.0,2.45,1.05,10.0,1.33,3.25,2.1,1.6,3.75,1.28,7.0,1.09,1.8,1.95
5406492,Brazil Serie A,2023,2023-05-20 18:30:00,7,São Paulo,Vasco da Gama,4,2,2.0,3.2,3.75,1.07,9.0,1.42,2.85,2.1,1.6,4.33,1.22,8.5,1.06,2.05,1.7
5406499,Brazil Serie A,2023,2023-05-20 18:30:00,7,América Mineiro,Fortaleza,2,1,2.55,3.2,2.65,1.05,11.0,1.3,3.4,1.91,1.75,3.4,1.3,6.5,1.1,1.7,2.05
5406497,Brazil Serie A,2023,2023-05-20 18:30:00,7,Coritiba,Atlético Mineiro,1,2,4.2,3.2,1.85,1.06,10.0,1.38,3.2,2.1,1.6,4.0,1.22,8.0,1.07,1.95,1.8
5406494,Brazil Serie A,2023,2023-05-20 18:30:00,7,Bragantino,Atlético PR,2,0,2.3,3.0,3.1,1.06,9.5,1.36,3.1,2.15,1.57,3.75,1.25,7.5,1.08,1.91,1.91
5406493,Brazil Serie A,2023,2023-05-20 21:00:00,7,Santos,Palmeiras,0,0,4.33,3.4,1.85,1.05,8.0,1.33,3.0,2.15,1.67,3.4,1.29,6.5,1.08,1.95,1.8
