Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
6035503,Uruguay Segunda División,2023,2023-03-04 17:00:00,1,Oriental,Sud América,1,0,2.75,3.2,2.3,0.0,0.0,0.0,0.0,2.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0
6035504,Uruguay Segunda División,2023,2023-03-04 17:00:00,1,Juventud,Cerrito,3,0,2.9,3.0,2.25,0.0,0.0,1.87,1.88,2.35,1.57,4.33,1.2,0.0,0.0,2.0,1.7
6035505,Uruguay Segunda División,2023,2023-03-04 17:00:00,1,Albion,Rampla Juniors,2,0,1.91,3.3,3.6,1.06,7.5,3.66,1.2,2.15,1.67,3.85,1.22,8.0,1.07,1.83,1.89
6035506,Uruguay Segunda División,2023,2023-03-04 21:50:00,1,Uruguay Montevideo FC,Progreso,0,1,2.2,3.1,2.9,1.08,8.5,1.42,2.9,2.2,1.65,3.98,1.22,6.84,1.09,1.93,1.78
6035507,Uruguay Segunda División,2023,2023-03-05 21:50:00,1,Bella Vista,Miramar Misiones,1,1,2.4,3.0,2.75,0.0,0.0,0.0,0.0,2.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0
6035508,Uruguay Segunda División,2023,2023-03-06 17:00:00,1,Potencia,Rentistas,1,1,3.14,3.14,2.21,1.05,8.0,1.3,3.2,1.9,1.9,3.3,1.29,6.0,1.09,1.83,1.93
6035509,Uruguay Segunda División,2023,2023-03-10 17:00:00,2,Progreso,Atenas,5,0,2.3,2.9,3.1,1.08,6.1,1.53,2.35,2.54,1.43,5.05,1.12,10.0,1.04,2.12,1.69
6035510,Uruguay Segunda División,2023,2023-03-11 09:45:00,2,Rampla Juniors,Uruguay Montevideo FC,3,1,0.0,3.1,3.6,1.08,7.0,1.48,2.5,2.38,1.53,4.4,1.15,9.5,1.03,2.04,1.74
6035511,Uruguay Segunda División,2023,2023-03-11 17:00:00,2,Sud América,Albion,4,2,2.7,3.4,2.25,1.06,8.5,1.42,2.57,2.35,1.57,4.33,1.16,8.0,1.06,1.97,1.71
6035512,Uruguay Segunda División,2023,2023-03-11 21:50:00,2,Miramar Misiones,Potencia,3,2,1.62,3.4,5.5,1.08,6.5,1.4,2.64,2.25,1.62,4.05,1.18,8.0,1.05,2.07,1.72
6035513,Uruguay Segunda División,2023,2023-03-12 17:00:00,2,Cerrito,Tacuarembó,0,2,1.65,3.75,4.2,1.05,8.0,1.34,2.88,2.1,1.7,3.65,1.22,6.5,1.08,1.98,1.7
6035514,Uruguay Segunda División,2023,2023-03-12 19:00:00,2,Rentistas,Juventud,1,0,2.7,3.1,2.5,1.07,7.0,1.35,2.9,2.2,1.65,3.7,1.22,7.0,1.07,1.85,1.85
6035515,Uruguay Segunda División,2023,2023-03-17 16:30:00,3,Juventud,Miramar Misiones,0,0,2.6,3.0,2.55,1.08,7.0,1.41,2.7,2.2,1.65,4.0,1.21,7.0,1.08,2.0,1.72
6035516,Uruguay Segunda División,2023,2023-03-17 21:30:00,3,Potencia,Bella Vista,2,1,3.0,3.0,2.2,0.0,0.0,0.0,0.0,2.08,1.73,0.0,0.0,0.0,0.0,0.0,0.0
6035517,Uruguay Segunda División,2023,2023-03-18 20:00:00,3,Tacuarembó,Rentistas,0,2,2.46,3.0,2.9,0.0,0.0,0.0,0.0,2.15,1.61,0.0,0.0,0.0,0.0,0.0,0.0
6035518,Uruguay Segunda División,2023,2023-03-19 16:30:00,3,Albion,Oriental,1,5,1.73,3.5,4.0,1.05,8.0,1.31,3.04,2.1,1.7,3.48,1.24,6.9,1.07,1.89,1.83
6035519,Uruguay Segunda División,2023,2023-03-19 18:30:00,3,Atenas,Rampla Juniors,0,1,3.4,3.25,2.0,1.06,6.85,1.46,2.67,2.5,1.5,4.4,1.16,8.0,1.05,1.98,1.7
6035520,Uruguay Segunda División,2023,2023-03-20 16:30:00,3,Uruguay Montevideo FC,Sud América,0,2,2.35,3.1,2.7,1.05,9.25,1.33,3.0,2.05,1.68,3.6,1.25,7.25,1.08,1.71,2.0
6035521,Uruguay Segunda División,2023,2023-03-24 19:00:00,4,Rentistas,Cerrito,0,0,1.91,3.1,3.8,1.05,7.2,1.4,2.7,2.25,1.62,4.0,1.21,7.5,1.06,2.04,1.7
6035522,Uruguay Segunda División,2023,2023-03-25 16:00:00,4,Sud América,Atenas,0,2,0.0,2.9,2.75,1.09,6.0,1.48,2.5,2.35,1.53,4.33,1.18,0.0,0.0,1.95,1.75
6035523,Uruguay Segunda División,2023,2023-03-25 16:30:00,4,Miramar Misiones,Tacuarembó,4,2,1.91,3.25,3.8,1.09,6.0,1.37,2.88,2.35,1.57,4.4,1.18,8.0,1.05,2.13,1.67
6035524,Uruguay Segunda División,2023,2023-03-25 21:00:00,4,Bella Vista,Juventud,0,2,2.5,3.0,2.55,0.0,0.0,0.0,0.0,2.15,1.67,0.0,0.0,0.0,0.0,0.0,0.0
6035525,Uruguay Segunda División,2023,2023-03-26 16:30:00,4,Oriental,Uruguay Montevideo FC,1,2,2.7,2.8,2.63,1.11,6.0,1.5,2.5,2.4,1.53,4.5,1.17,9.0,1.05,2.04,1.72
6035526,Uruguay Segunda División,2023,2023-04-01 10:00:00,5,Juventud,Potencia,2,0,1.8,3.2,4.0,1.05,8.0,1.33,3.0,2.35,1.57,3.6,1.25,6.5,1.08,2.1,1.62
6035527,Uruguay Segunda División,2023,2023-04-02 12:30:00,5,Progreso,Sud América,2,0,1.7,3.3,4.75,1.07,7.0,1.36,2.9,2.1,1.65,3.6,1.25,7.0,1.07,2.0,1.73
6035528,Uruguay Segunda División,2023,2023-04-02 16:00:00,5,Uruguay Montevideo FC,Albion,1,2,2.2,3.2,3.0,1.06,8.0,1.36,3.0,2.15,1.67,3.71,1.25,6.84,1.09,1.83,1.85
6035529,Uruguay Segunda División,2023,2023-04-02 16:30:00,5,Atenas,Oriental,0,1,2.75,3.0,2.38,0.0,0.0,0.0,0.0,2.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0
6035530,Uruguay Segunda División,2023,2023-04-02 17:00:00,5,Tacuarembó,Bella Vista,1,3,2.18,3.1,3.3,0.0,0.0,0.0,0.0,2.23,1.63,0.0,0.0,0.0,0.0,0.0,0.0
6035531,Uruguay Segunda División,2023,2023-04-02 18:30:00,5,Cerrito,Miramar Misiones,2,2,3.25,3.1,2.15,0.0,0.0,0.0,0.0,2.25,1.62,0.0,0.0,0.0,0.0,0.0,0.0
6035532,Uruguay Segunda División,2023,2023-04-07 15:30:00,6,Sud América,Rampla Juniors,1,3,2.95,3.0,2.25,1.08,6.5,1.4,2.7,2.3,1.55,4.3,1.17,8.0,1.05,2.0,1.72
6035533,Uruguay Segunda División,2023,2023-04-07 18:00:00,6,Albion,Atenas,1,1,1.8,3.3,4.0,1.06,8.5,1.29,3.4,2.0,1.8,3.33,1.3,5.9,1.11,1.86,1.8
6035534,Uruguay Segunda División,2023,2023-04-08 12:30:00,6,Potencia,Tacuarembó,2,2,2.3,3.2,2.75,0.0,0.0,1.42,2.65,2.3,1.6,4.1,1.2,3.01,1.36,1.98,1.74
6035535,Uruguay Segunda División,2023,2023-04-08 15:30:00,6,Oriental,Progreso,0,0,3.0,3.25,2.1,4.09,1.2,1.37,2.8,2.2,1.65,3.8,1.23,7.0,1.08,1.9,1.78
6035536,Uruguay Segunda División,2023,2023-04-09 12:15:00,6,Bella Vista,Cerrito,2,0,2.1,3.1,3.3,0.0,0.0,0.0,0.0,2.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0
6035537,Uruguay Segunda División,2023,2023-04-09 20:30:00,6,Miramar Misiones,Rentistas,2,1,2.25,3.2,2.9,0.0,0.0,0.0,0.0,2.25,1.62,0.0,0.0,0.0,0.0,0.0,0.0
6035538,Uruguay Segunda División,2023,2023-04-16 11:15:00,4,Rampla Juniors,Progreso,2,2,2.68,2.73,2.9,1.11,6.0,1.45,2.48,1.9,1.85,4.55,1.14,0.0,0.0,2.0,1.69
6035540,Uruguay Segunda División,2023,2023-04-22 15:15:00,7,Atenas,Uruguay Montevideo FC,0,1,2.73,2.8,2.72,1.07,6.3,1.53,2.47,2.46,1.44,4.84,1.13,10.5,1.03,2.07,1.72
6035541,Uruguay Segunda División,2023,2023-04-22 15:15:00,7,Progreso,Albion,1,0,1.88,3.17,4.17,1.95,1.81,1.4,2.7,2.22,1.54,3.9,1.2,8.0,1.06,1.98,1.78
6035539,Uruguay Segunda División,2023,2023-04-22 15:15:00,7,Rampla Juniors,Oriental,1,0,2.12,3.16,3.37,1.1,6.5,1.4,2.64,2.17,1.57,4.2,1.17,8.0,1.06,1.95,1.73
6035542,Uruguay Segunda División,2023,2023-04-23 10:00:00,7,Cerrito,Potencia,3,1,1.95,3.19,3.84,1.08,7.0,1.36,2.79,2.18,1.65,3.84,1.2,7.0,1.08,1.91,1.85
6035543,Uruguay Segunda División,2023,2023-04-23 12:15:00,7,Rentistas,Bella Vista,2,0,1.77,2.55,5.48,0.0,0.0,0.0,0.0,2.4,1.53,0.0,0.0,0.0,0.0,0.0,0.0
6035544,Uruguay Segunda División,2023,2023-04-23 15:15:00,7,Tacuarembó,Juventud,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6035545,Uruguay Segunda División,2023,2023-04-29 13:00:00,0,Juventud,Progreso,1,5,2.98,2.86,2.5,1.08,6.6,1.47,2.45,2.45,1.47,4.3,1.17,9.0,1.05,2.09,1.7
6035551,Uruguay Segunda División,2023,2023-05-06 10:00:00,1,Juventud,Potencia,2,0,1.68,3.25,4.5,1.07,9.2,1.35,2.84,2.11,1.65,3.74,1.21,7.0,1.07,2.05,1.68
6035547,Uruguay Segunda División,2023,2023-05-06 12:30:00,1,Progreso,Tacuarembó,3,2,1.43,3.6,5.8,1.06,9.85,1.33,2.93,2.01,1.71,3.56,1.23,6.75,1.07,2.25,1.57
6035552,Uruguay Segunda División,2023,2023-05-06 15:30:00,1,Atenas,Cerrito,1,1,2.18,3.0,3.45,1.09,7.4,1.44,2.51,2.36,1.52,4.5,1.15,8.2,1.04,2.05,1.66
6035548,Uruguay Segunda División,2023,2023-05-06 15:30:00,1,Uruguay Montevideo FC,Miramar Misiones,1,2,2.65,2.95,2.55,0.0,0.0,0.0,0.0,2.03,1.57,0.0,0.0,0.0,0.0,0.0,0.0
6035549,Uruguay Segunda División,2023,2023-05-06 15:30:00,1,Albion,Rentistas,3,2,2.5,3.0,2.7,1.07,9.0,1.36,2.79,2.03,1.57,3.74,1.21,7.05,1.07,1.85,1.82
6035550,Uruguay Segunda División,2023,2023-05-06 15:30:00,1,Sud América,Bella Vista,1,0,2.45,2.9,2.8,0.0,0.0,0.0,0.0,2.03,1.57,0.0,0.0,0.0,0.0,0.0,0.0
6035546,Uruguay Segunda División,2023,2023-05-07 12:30:00,1,Rampla Juniors,Oriental,1,3,2.15,3.15,3.1,1.07,7.0,1.38,2.71,2.25,1.58,3.96,1.19,7.5,1.06,1.93,1.75
6035558,Uruguay Segunda División,2023,2023-05-13 10:00:00,2,Potencia,Sud América,1,2,2.78,2.9,2.31,1.07,9.2,1.36,2.9,2.12,1.65,3.72,1.23,6.95,1.07,1.9,1.86
6035557,Uruguay Segunda División,2023,2023-05-13 15:00:00,2,Oriental,Atenas,3,1,2.12,2.86,3.13,0.0,0.0,0.0,0.0,2.45,1.49,0.0,0.0,0.0,0.0,0.0,0.0
6035555,Uruguay Segunda División,2023,2023-05-13 15:30:00,2,Rentistas,Uruguay Montevideo FC,3,3,2.07,2.94,3.08,1.07,8.95,1.37,2.85,2.16,1.62,3.8,1.22,7.05,1.07,1.95,1.81
6035556,Uruguay Segunda División,2023,2023-05-13 16:00:00,2,Tacuarembó,Rampla Juniors,1,0,3.1,3.45,2.05,1.02,10.0,0.0,0.0,1.68,2.14,0.0,0.0,0.0,0.0,0.0,0.0
6035559,Uruguay Segunda División,2023,2023-05-13 20:15:00,2,Miramar Misiones,Progreso,2,2,2.75,2.94,2.29,0.0,0.0,0.0,0.0,2.16,1.62,0.0,0.0,0.0,0.0,0.0,0.0
6035554,Uruguay Segunda División,2023,2023-05-14 12:30:00,2,Bella Vista,Albion,1,5,2.6,3.0,2.5,0.0,0.0,0.0,0.0,2.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0
6035553,Uruguay Segunda División,2023,2023-05-14 15:00:00,2,Cerrito,Juventud,3,0,2.68,2.94,2.66,1.09,7.7,1.4,2.61,2.34,1.53,4.25,1.18,7.9,1.05,1.95,1.75
6035562,Uruguay Segunda División,2023,2023-05-20 15:00:00,3,Albion,Potencia,0,0,1.69,3.34,4.01,1.04,12.25,1.27,3.4,1.88,1.77,3.1,1.32,5.6,1.11,1.9,1.86
6035563,Uruguay Segunda División,2023,2023-05-20 15:00:00,3,Miramar Misiones,Tacuarembó,3,2,2.05,3.0,3.05,1.06,9.7,1.31,3.04,1.94,1.63,3.4,1.29,6.0,1.09,1.9,1.8
6035564,Uruguay Segunda División,2023,2023-05-20 15:00:00,3,Sud América,Cerrito,1,2,2.29,2.88,2.83,1.07,8.8,1.38,2.81,2.07,1.54,3.87,1.22,7.2,1.06,1.94,1.82
6035565,Uruguay Segunda División,2023,2023-05-20 15:00:00,3,Juventud,Oriental,1,0,2.3,3.4,2.63,1.06,8.25,1.36,2.85,2.08,1.73,3.9,1.22,8.25,1.07,1.9,1.8
6035566,Uruguay Segunda División,2023,2023-05-20 15:00:00,3,Atenas,Rampla Juniors,1,2,2.76,2.76,2.36,1.09,7.25,1.44,2.45,2.33,1.43,4.53,1.16,8.4,1.04,2.14,1.67
6035561,Uruguay Segunda División,2023,2023-05-21 12:30:00,3,Uruguay Montevideo FC,Bella Vista,1,0,1.91,3.25,3.6,0.0,0.0,0.0,0.0,2.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0
6035560,Uruguay Segunda División,2023,2023-05-21 15:00:00,3,Progreso,Rentistas,3,1,1.85,3.1,3.75,1.05,8.0,1.33,3.0,2.05,1.7,3.6,1.25,6.5,1.08,1.85,1.85
6035573,Uruguay Segunda División,2023,2023-05-27 15:00:00,4,Potencia,Uruguay Montevideo FC,0,1,3.55,3.2,2.0,1.05,8.0,1.35,3.0,2.12,1.65,3.7,1.24,8.0,1.05,1.9,1.86
6035572,Uruguay Segunda División,2023,2023-05-27 15:00:00,4,Oriental,Sud América,3,1,1.75,3.3,4.4,1.06,9.0,1.36,2.85,2.18,1.62,3.9,1.22,8.25,1.07,2.0,1.7
6035569,Uruguay Segunda División,2023,2023-05-27 15:00:00,4,Rampla Juniors,Juventud,1,1,2.0,3.2,3.55,1.06,7.5,1.4,2.7,2.28,1.57,4.1,1.19,9.0,1.03,2.02,1.76
6035570,Uruguay Segunda División,2023,2023-05-27 17:30:00,4,Rentistas,Miramar Misiones,2,0,2.2,3.05,3.1,1.05,8.0,1.3,3.2,2.0,1.8,3.3,1.29,6.0,1.09,1.8,1.91
6035567,Uruguay Segunda División,2023,2023-05-27 20:00:00,4,Cerrito,Albion,2,1,2.6,2.95,2.6,1.05,8.0,1.33,2.93,2.07,1.68,3.56,1.23,7.5,1.05,1.8,1.96
6035568,Uruguay Segunda División,2023,2023-05-28 12:15:00,4,Bella Vista,Progreso,0,1,5.45,3.82,1.56,0.0,0.0,0.0,0.0,1.95,1.8,0.0,0.0,0.0,0.0,0.0,0.0
6035571,Uruguay Segunda División,2023,2023-05-28 17:15:00,4,Tacuarembó,Atenas,1,1,3.34,2.94,2.27,1.07,7.0,1.42,2.57,2.38,1.53,4.25,1.17,9.0,1.03,1.95,1.72
6035579,Uruguay Segunda División,2023,2023-06-03 10:00:00,5,Sud América,Rampla Juniors,0,3,3.5,3.24,2.06,1.07,8.8,1.37,2.85,2.18,1.61,3.8,1.22,7.1,1.06,1.96,1.8
6035574,Uruguay Segunda División,2023,2023-06-03 15:00:00,5,Rentistas,Tacuarembó,2,0,1.6,3.8,5.2,1.03,9.0,1.28,3.2,1.95,1.83,3.28,1.27,6.5,1.08,1.92,1.84
6035576,Uruguay Segunda División,2023,2023-06-03 15:00:00,5,Uruguay Montevideo FC,Cerrito,3,0,2.08,3.28,3.4,1.06,9.35,1.36,2.92,2.16,1.68,3.7,1.24,6.85,1.07,1.9,1.86
6035577,Uruguay Segunda División,2023,2023-06-03 15:00:00,5,Albion,Oriental,2,0,2.52,3.18,2.67,1.06,7.5,1.35,2.84,2.16,1.68,3.74,1.21,6.5,1.08,1.83,1.87
6035580,Uruguay Segunda División,2023,2023-06-03 15:00:00,5,Juventud,Atenas,1,1,2.1,3.13,3.52,1.08,8.1,1.42,2.5,2.35,1.53,4.02,1.2,7.5,1.06,2.02,1.76
